Gene,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,cond9,cond10,cond11,cond12,cond13,cond14,cond15,cond16,cond17
YDR108W,139,179,161,179,139,208,179,179,195,110,161,161,195,179,161,161,179
YDR109C,110,110,110,69,69,110,110,69,110,0,69,69,110,110,69,110,69
YDR111C,110,139,179,230,179,195,179,208,208,69,179,179,208,179,139,110,110
YDR112W,0,0,69,110,110,69,110,110,110,0,69,110,69,0,0,0,0
YDR113C,179,208,271,289,304,294,208,195,161,139,230,271,277,248,220,179,161
YDR114C,179,179,110,161,110,179,139,139,161,110,139,161,179,139,179,110,161
YDR116C,264,271,161,195,220,248,220,248,256,240,271,264,240,256,240,248,264
YDR118W,179,195,110,161,110,161,110,161,161,69,139,139,139,139,139,139,139
YDR120C,240,330,314,300,277,333,318,309,314,248,256,271,304,300,283,304,304
YDR121W,256,300,309,294,248,304,294,264,277,240,264,256,277,289,264,283,277
YDR122W,220,161,195,161,161,195,179,161,195,161,208,208,208,179,161,179,161
YDR126W,179,179,139,139,179,161,69,110,110,69,69,139,110,110,110,110,110
YDR130C,161,139,69,195,195,248,161,195,195,69,110,161,208,195,195,161,161
YDR132C,139,139,110,139,110,139,139,110,139,69,110,110,139,110,139,139,69
YDR133C,482,504,506,505,527,474,509,479,457,507,520,504,474,539,538,541,498
YDR134C,343,406,452,442,438,426,445,395,378,414,428,425,413,453,447,452,423
YDR141C,304,289,230,271,294,300,264,289,294,264,289,283,283,283,271,283,271
YDR142C,220,230,179,230,195,230,161,208,208,139,179,179,195,195,195,179,195
YDR143C,230,289,220,230,256,256,240,264,248,208,248,240,240,256,248,240,240
YDR146C,161,195,230,240,248,318,326,318,326,271,283,264,294,353,330,356,314
YDR148C,195,110,161,161,161,179,139,161,208,195,208,208,208,161,161,139,208
YDR149C,0,0,0,0,110,110,110,69,110,0,0,0,69,0,69,0,69
YDR150W,230,220,161,240,283,294,271,289,289,179,230,240,271,248,230,256,248
YDR151C,248,230,195,240,220,230,208,240,248,139,208,195,230,195,208,208,195
YDR152W,343,350,340,356,358,366,356,371,356,322,343,347,330,364,333,337,369
YDR154C,552,558,532,545,551,500,511,516,491,561,555,546,496,571,564,562,554
YDR155C,430,439,408,433,437,409,378,409,393,430,442,426,393,450,453,425,447
YDR156W,256,330,277,289,289,300,294,289,300,271,283,271,264,294,283,271,271
YDR157W,337,374,356,356,343,337,350,337,330,337,333,330,322,353,364,376,318
YDR158W,337,381,395,403,376,393,408,389,393,395,408,397,406,436,436,455,433
YDR160W,139,220,195,179,139,179,220,139,179,161,179,139,179,179,195,195,161
YDR162C,294,256,271,289,277,289,289,289,289,248,283,300,277,271,271,240,300
YDR165W,353,364,350,361,356,353,366,361,361,314,353,353,343,358,356,361,347
YDR168W,322,326,271,318,309,314,294,318,318,304,326,322,294,304,309,289,337
YDR169C,248,220,220,220,195,208,139,220,220,179,208,195,208,179,179,179,208
YDR170C,277,314,289,304,294,326,314,300,314,248,289,283,304,289,289,300,277
YDR171W,256,161,139,110,110,139,139,110,139,69,139,139,161,139,110,139,139
YDR172W,289,364,369,353,318,358,369,322,343,309,330,337,347,350,347,358,347
YDR173C,161,179,161,161,110,161,139,69,110,69,69,110,139,139,110,139,110
YDR178W,294,240,220,264,256,289,230,256,277,256,271,271,256,248,256,248,289
YDR180W,195,240,195,195,161,208,161,179,220,161,220,195,179,161,179,139,161
YDR181C,230,230,179,220,195,240,195,220,240,110,208,195,208,220,208,208,208
YDR183W,208,230,248,230,161,220,208,195,220,161,195,195,208,179,161,179,179
YDR184C,277,350,304,289,289,330,326,304,294,208,240,256,271,264,256,271,256
YDR185C,195,230,195,195,139,208,195,161,195,69,139,161,179,195,179,195,179
YDR187C,230,230,240,248,256,220,264,256,240,110,208,230,248,195,179,161,161
YDR188W,318,326,322,337,350,333,326,340,337,322,322,337,309,322,322,304,337
YDR191W,139,139,69,110,69,69,69,179,230,110,161,139,110,69,69,69,179
YDR193W,69,69,69,69,0,110,69,69,110,0,69,69,110,0,0,0,69
YDR194C,294,304,230,271,256,314,300,304,318,277,318,314,294,333,309,318,326
YDR195W,208,289,248,256,208,264,248,264,256,139,195,220,230,230,230,208,179
YDR197W,195,195,139,179,139,208,208,195,230,179,195,195,208,208,208,240,208
YDR198C,179,220,179,161,110,179,195,179,195,110,139,139,179,161,161,195,139
YDR202C,264,179,139,179,195,220,179,208,230,161,195,208,208,208,208,179,220
YDR203W,161,69,69,69,69,110,69,110,139,0,69,110,110,110,69,69,69
YDR204W,277,240,161,161,139,161,139,195,195,139,179,179,179,179,179,195,179
YDR206W,264,314,248,271,277,277,248,271,271,208,220,230,220,277,271,264,256
YDR207C,161,230,179,240,208,240,220,240,230,179,208,208,230,248,220,230,220
YDR210W,437,429,423,420,445,423,449,425,409,413,438,423,409,457,453,457,445
YDR211W,240,309,309,294,240,300,294,248,277,240,264,264,294,283,271,283,283
YDR212W,283,294,333,304,318,314,326,304,309,314,314,326,309,326,326,300,333
YDR213W,139,161,220,256,277,230,195,208,195,161,179,179,179,179,179,139,195
YDR214W,430,378,309,289,300,309,294,294,300,256,277,289,294,294,300,300,309
YDR216W,161,0,0,69,110,110,69,69,110,0,69,69,69,69,0,0,0
YDR218C,179,195,161,179,110,110,69,69,110,0,69,69,69,69,69,0,0
YDR219C,161,110,110,220,208,256,195,208,220,110,161,208,230,208,208,179,179
YDR222W,161,161,110,161,110,161,110,110,110,69,69,110,139,110,110,110,69
YDR223W,110,69,69,110,0,110,69,69,69,0,0,0,110,110,0,69,69
YDR224C,330,371,420,414,413,387,378,340,340,371,389,403,389,429,420,428,395
YDR225W,358,358,417,422,423,387,399,371,361,391,420,439,395,437,451,420,417
YDR227W,195,161,110,195,220,230,179,208,208,110,139,179,208,161,161,161,161
YDR230W,277,220,179,240,230,248,208,220,248,195,240,220,220,230,230,240,240
YDR231C,248,195,139,195,208,220,161,195,230,179,220,208,195,179,179,195,208
YDR234W,208,271,277,277,230,289,271,256,283,220,240,230,256,248,240,248,240
YDR235W,139,179,179,179,110,195,179,161,195,110,161,161,195,179,161,179,161
YDR236C,264,277,248,248,208,264,248,220,256,208,230,240,264,264,256,289,256
YDR240C,220,208,139,195,195,230,179,208,230,110,161,195,208,161,179,195,161
YDR241W,0,69,0,0,0,0,69,0,0,0,0,0,69,0,69,0,0
YDR244W,208,179,161,208,161,240,161,195,240,139,179,195,208,161,195,179,208
YDR246W,240,208,161,179,179,220,161,195,195,139,195,179,161,195,179,179,179
YDR247W,0,0,0,69,69,69,69,69,0,0,0,0,69,0,0,0,0
YDR249C,161,195,179,179,69,179,179,139,161,0,110,110,139,110,139,161,110
YDR252W,220,161,139,179,208,208,161,195,179,0,139,161,195,179,161,179,161
YDR253C,314,289,248,326,353,326,271,283,277,195,256,289,294,283,289,300,283
YDR254W,161,69,69,179,139,179,139,139,161,69,139,161,179,139,139,110,139
YDR255C,179,110,69,179,179,195,139,161,179,69,139,161,195,179,179,161,139
YDR256C,69,69,69,69,69,69,0,69,69,0,0,0,0,0,0,0,0
YDR257C,240,271,195,230,230,256,220,256,256,161,220,230,208,220,220,208,240
YDR258C,343,256,69,69,69,110,0,69,110,69,110,110,110,69,110,139,161
YDR259C,139,69,0,69,69,139,69,110,139,0,69,69,110,69,69,69,69
YDR260C,230,264,240,230,220,256,248,240,256,195,240,230,240,248,230,248,240
YDR262W,240,289,256,248,230,289,271,240,271,230,230,248,264,271,248,277,264
YDR263C,139,208,248,208,208,230,208,179,179,195,220,220,208,230,195,195,161
YDR270W,161,110,69,139,110,161,110,139,161,69,139,139,161,139,139,110,161
YDR271C,208,161,69,110,161,161,69,139,161,110,161,161,161,179,179,161,161
YDR272W,343,350,264,271,304,318,289,314,309,256,277,277,264,300,277,289,300
YDR273W,110,110,69,110,0,69,0,69,69,0,0,0,0,0,0,69,0
YDR274C,69,208,195,179,69,0,0,0,0,0,0,0,0,0,0,0,0
YDR275W,195,256,230,240,195,248,248,230,248,110,179,195,230,220,208,220,195
YDR276C,371,409,414,408,401,408,442,376,393,425,401,404,401,450,463,470,420
YDR277C,110,110,161,240,179,179,161,179,208,139,139,161,161,110,110,139,195
YDR279W,161,195,220,230,208,220,161,195,220,161,230,240,220,179,161,139,179
YDR281C,195,240,220,195,110,139,69,161,195,161,208,240,271,289,277,248,283
YDR282C,139,69,0,69,69,110,110,110,110,0,69,69,110,69,69,69,110
YDR284C,294,240,230,283,230,300,256,277,304,264,314,318,304,318,314,304,318
YDR286C,283,264,195,195,179,240,220,208,248,195,208,220,208,220,220,248,230
YDR287W,208,208,208,179,139,179,179,139,179,161,161,179,179,208,161,195,195
YDR288W,179,230,195,179,139,208,195,161,195,110,139,139,179,161,161,179,179
YDR289C,230,256,248,248,230,283,277,230,240,195,220,240,248,264,256,264,230
YDR294C,248,179,161,208,195,240,161,208,220,179,208,220,220,195,195,179,208
YDR295C,195,139,110,179,139,161,110,139,179,110,110,139,161,139,139,110,139
YDR296W,309,309,264,283,314,333,289,309,322,294,333,333,309,326,304,309,350
YDR297W,256,326,364,397,385,378,350,343,340,264,356,356,333,337,318,304,314
YDR299W,283,330,294,309,294,326,309,294,309,220,271,277,294,294,271,289,271
YDR300C,230,264,248,248,208,248,230,220,240,208,208,208,220,240,220,240,220
YDR301W,139,161,110,139,161,195,161,161,195,139,161,161,179,195,161,195,179
YDR302W,208,248,240,256,230,277,271,195,230,161,195,220,256,256,256,256,208
YDR305C,314,289,271,300,300,314,294,300,314,271,289,294,283,300,294,294,309
YDR309C,271,385,318,300,289,322,289,283,309,314,391,364,322,337,304,300,314
YDR311W,277,283,230,271,240,283,248,264,271,179,240,248,264,264,248,264,248
YDR312W,248,314,304,277,264,309,294,248,283,283,264,271,277,294,277,283,300
YDR313C,240,230,195,208,220,256,230,208,208,139,195,195,208,230,208,230,208
YDR314C,0,0,0,0,0,69,69,0,0,0,0,0,69,69,0,0,0
YDR316W,230,161,161,208,195,256,240,220,256,195,230,248,230,208,230,179,256
YDR321W,304,330,318,343,289,318,289,300,330,248,304,304,300,304,300,289,283
YDR322W,271,277,179,230,220,271,230,240,271,208,264,256,240,256,248,264,248
YDR323C,110,69,0,110,69,110,110,69,110,0,0,69,110,69,69,69,0
YDR324C,230,322,283,264,256,326,330,300,314,240,256,264,277,294,289,294,294
YDR325W,240,283,248,271,277,318,289,256,271,179,220,240,277,300,271,289,248
YDR326C,208,256,208,230,230,289,271,230,248,161,195,208,248,256,248,277,220
YDR327W,347,381,387,364,364,369,369,337,353,374,364,369,356,406,395,420,391
YDR329C,330,289,294,304,350,330,318,326,318,277,318,326,304,337,309,330,322
YDR330W,230,161,69,161,161,179,139,179,195,139,179,195,179,161,139,139,179
YDR331W,195,195,220,240,179,240,195,208,240,161,220,240,230,240,195,195,220
YDR336W,208,220,161,195,110,195,179,195,220,110,179,179,195,208,179,195,195
YDR337W,240,264,230,220,195,277,256,248,271,271,283,277,264,271,256,283,304
YDR338C,139,110,110,110,110,139,110,69,139,0,110,69,139,110,110,139,69
YDR339C,300,381,376,356,322,364,366,318,333,322,318,326,330,364,347,361,340
YDR342C,340,256,277,347,326,326,314,314,343,314,340,326,314,304,314,318,340
YDR343C,330,248,264,333,314,314,300,300,333,304,330,318,300,289,309,300,340
YDR345C,356,314,376,411,397,378,381,369,383,416,401,385,350,350,366,347,408
YDR347W,309,322,240,264,271,294,240,283,294,256,300,300,283,294,271,289,289
YDR350C,179,161,139,195,161,220,179,179,208,110,161,179,195,161,161,179,179
YDR351W,161,179,179,208,161,240,208,161,208,139,161,161,195,179,179,179,179
YDR352W,240,277,283,264,240,294,271,248,271,208,240,248,277,271,248,271,248
YDR353W,381,428,445,414,411,411,430,374,387,442,425,426,399,456,432,450,429
YDR356W,110,110,161,195,220,240,161,139,139,69,179,208,220,179,161,110,110
YDR357C,374,353,350,340,326,318,314,326,350,343,347,347,289,330,326,314,364
YDR358W,230,69,0,110,110,139,0,139,179,110,179,179,161,139,110,161,161
YDR361C,277,340,318,337,309,337,300,322,322,240,277,289,294,309,309,289,304
YDR362C,110,110,69,110,110,139,69,69,110,0,69,69,69,69,69,0,69
YDR363W,161,195,110,139,139,208,195,179,195,69,139,161,179,195,161,179,179
YDR364C,195,230,208,208,139,220,220,195,208,110,161,161,195,179,161,179,179
YDR365C,314,389,383,358,353,366,376,340,353,322,330,333,347,383,364,374,364
YDR366C,139,195,161,139,139,195,195,110,139,69,69,69,110,161,161,139,110
YDR369C,248,208,179,208,161,208,179,220,230,139,179,195,208,195,179,179,220
YDR371W,230,195,195,240,195,230,195,230,240,161,208,230,230,195,208,161,230
YDR373W,277,264,248,277,256,289,264,271,283,248,264,271,256,283,283,240,289
YDR374C,230,248,161,195,139,240,110,179,139,69,69,110,110,110,110,110,139
YDR375C,230,248,179,240,179,256,240,240,256,195,248,240,248,248,240,230,256
YDR378C,309,350,366,353,326,343,353,309,322,330,330,337,326,361,350,364,347
YDR379W,139,220,195,161,110,220,208,161,208,139,195,179,179,208,139,220,195
YDR380W,271,220,208,195,208,220,195,195,256,264,322,340,353,376,356,366,356
YDR381W,383,369,397,385,432,401,393,393,393,419,429,437,399,456,451,426,456
YDR382W,471,456,485,456,502,448,461,462,448,541,511,502,439,520,526,496,518
YDR383C,195,139,179,195,139,161,69,139,161,139,195,208,179,179,139,110,161
YDR384C,289,277,271,277,283,283,248,289,294,256,256,256,240,271,256,264,248
YDR385W,411,419,437,428,452,426,422,429,419,480,458,453,406,456,447,441,475
YDR386W,110,110,110,110,69,139,69,110,110,0,0,69,110,110,69,69,0
YDR387C,208,179,139,179,161,195,139,179,195,110,161,161,161,179,161,161,161
YDR388W,300,309,277,283,264,294,264,294,294,283,314,309,289,340,309,289,309
YDR389W,208,230,179,161,230,277,256,220,220,161,208,195,195,248,230,248,220
YDR390C,240,271,256,283,256,314,256,271,289,248,248,271,289,309,264,294,277
YDR391C,277,256,208,179,179,220,220,195,195,161,161,179,179,179,195,230,220
YDR392W,220,248,220,220,195,248,240,208,230,161,208,220,220,230,220,248,220
YDR394W,309,248,256,283,271,283,264,264,318,318,309,314,300,309,294,283,343
YDR400W,179,208,208,220,161,208,161,161,179,110,195,208,208,179,161,139,161
YDR401W,69,69,0,69,0,69,0,0,0,0,0,0,0,0,0,0,0
YDR403W,110,139,69,69,69,69,69,0,69,0,0,69,0,69,0,69,69
YDR405W,230,256,220,220,240,256,248,220,230,208,208,220,220,240,208,240,220
YDR409W,220,195,110,179,179,195,139,161,179,110,139,139,139,161,139,139,139
YDR411C,314,230,248,283,283,300,264,277,283,230,283,283,277,283,271,256,256
YDR413C,271,330,300,326,300,326,309,294,304,220,277,264,289,314,309,283,248
YDR414C,179,195,161,179,139,195,139,179,179,110,161,161,179,179,161,139,161
YDR415C,208,208,139,179,179,220,161,161,208,139,179,195,161,208,195,179,195
YDR416W,208,230,179,179,195,220,195,195,220,139,161,161,179,220,195,208,195
YDR417C,333,378,403,383,385,378,393,353,369,447,391,397,374,423,423,437,408
YDR418W,408,453,465,444,447,438,468,406,420,504,460,453,426,500,490,502,483
YDR419W,220,240,195,195,179,195,195,179,195,110,161,179,195,208,179,220,179
YDR421W,220,139,110,139,161,195,161,195,208,110,179,195,195,179,179,161,208
YDR423C,179,110,69,139,139,179,139,179,179,139,139,161,161,179,179,161,179
YDR424C,364,361,376,376,369,376,356,358,364,381,378,385,343,374,371,350,399
YDR425W,230,179,110,179,179,220,161,195,208,110,179,161,195,195,179,220,195
YDR428C,271,289,248,256,179,271,248,248,277,208,240,240,248,220,220,220,220
YDR430C,161,161,69,110,110,179,139,161,179,110,161,161,179,161,139,161,139
YDR432W,289,353,347,350,343,376,414,358,374,369,364,371,366,397,387,408,378
YDR433W,429,429,439,438,480,444,476,464,448,493,479,482,443,496,493,483,494
YDR435C,195,110,69,139,110,139,110,139,179,110,161,161,139,110,139,110,161
YDR436W,139,110,69,110,69,110,69,110,139,69,110,110,110,110,110,69,110
YDR438W,179,139,110,161,139,179,110,139,161,69,110,110,110,110,110,110,139
YDR440W,69,110,161,161,69,161,69,110,139,139,161,161,139,139,110,69,139
YDR441C,248,304,300,300,264,309,283,256,294,264,283,283,264,289,271,271,277
YDR443C,139,110,110,139,110,161,110,110,139,0,69,110,110,110,69,110,69
YDR444W,195,248,248,240,240,277,230,208,208,161,179,208,230,248,220,248,220
YDR447C,426,417,420,438,448,404,408,403,401,480,449,439,403,455,465,444,462
YDR448W,220,179,161,208,208,220,161,179,208,161,179,195,208,220,195,161,179
YDR449C,314,347,330,340,347,364,330,353,353,256,304,330,314,340,314,322,318
YDR450W,443,448,463,454,477,432,444,434,420,523,478,466,414,483,488,477,496
YDR451C,110,179,161,179,240,283,195,179,161,69,139,179,230,256,230,195,179
YDR453C,256,271,208,240,161,230,161,161,195,139,139,139,161,161,161,161,161
YDR456W,220,240,208,220,195,271,248,220,256,195,230,248,248,256,240,264,230
YDR457W,208,294,271,264,248,304,304,248,277,264,264,264,277,289,283,309,264
YDR461W,179,161,69,69,69,110,69,110,110,0,0,69,0,0,69,0,69
YDR464W,271,304,240,277,300,318,271,277,264,195,220,248,264,289,264,256,220
YDR465C,289,366,340,343,294,350,333,326,350,256,314,309,283,326,322,294,330
YDR466W,208,230,179,220,220,264,220,220,248,179,208,220,220,230,208,230,230
YDR469W,304,350,343,347,314,358,353,289,322,256,289,314,330,343,314,358,330
YDR470C,179,220,179,195,161,220,195,161,195,161,179,195,208,230,208,220,208
YDR471W,411,434,443,439,454,434,447,411,420,483,456,456,403,469,476,460,476
YDR473C,230,230,220,230,208,240,195,220,240,161,220,230,230,240,230,208,240
YDR476C,283,289,277,277,230,283,256,240,271,256,256,256,256,283,256,277,264
YDR477W,240,277,220,248,256,289,264,240,256,208,240,248,264,283,248,277,248
YDR478W,240,271,248,240,220,264,264,208,230,208,195,220,240,264,240,271,240
YDR479C,264,277,264,264,271,289,283,248,264,248,264,271,271,309,277,309,271
YDR485C,179,179,161,179,161,208,139,161,195,110,161,161,179,139,139,139,139
YDR487C,374,393,361,378,333,387,350,343,383,350,387,385,366,408,393,387,411
YDR488C,69,139,161,195,110,161,110,69,139,110,161,179,195,161,110,69,110
YDR489W,230,271,248,240,230,271,220,208,230,179,240,248,208,220,195,195,179
YDR490C,248,256,230,220,248,264,230,220,240,220,220,230,220,248,220,256,240
YDR491C,0,139,195,179,69,139,110,69,110,69,69,110,69,139,69,110,69
YDR492W,277,353,364,358,326,309,300,248,283,230,240,256,277,294,300,330,277
YDR493W,356,330,264,256,264,294,277,300,309,277,330,318,289,314,294,300,350
YDR494W,294,264,208,230,230,271,240,248,283,220,289,289,271,264,256,230,309
YDR495C,139,110,0,110,69,139,110,69,139,0,110,69,110,69,110,69,69
YDR499W,139,139,110,161,139,179,110,110,139,69,110,139,161,139,110,110,69
YDR500C,463,472,456,473,465,448,428,425,432,503,485,479,429,495,498,464,488
YDR501W,69,69,69,110,0,110,0,0,0,0,69,69,69,69,0,0,0
YDR503C,161,179,230,208,69,161,139,69,139,139,179,195,195,139,139,139,110
YDR504C,264,304,322,326,264,318,294,208,264,230,256,271,304,322,283,309,264
YDR505C,208,208,179,195,220,264,240,195,220,161,208,230,248,264,240,264,240
YDR506C,110,69,0,0,0,69,69,0,69,0,69,69,69,69,69,0,69
YDR507C,256,304,381,356,347,343,283,271,294,304,381,381,337,330,294,256,304
YDR511W,318,264,208,220,195,240,161,195,240,256,264,256,230,240,240,248,256
YDR512C,294,289,230,248,208,264,208,220,264,240,264,271,248,264,248,240,294
YDR513W,356,337,271,294,248,318,277,264,322,294,337,337,322,337,330,309,358
YDR514C,208,248,208,230,161,271,230,208,240,110,161,179,195,208,195,179,208
YDR516C,240,179,139,195,179,208,139,139,179,179,208,220,208,195,179,195,208
YDR517W,322,289,314,309,300,309,289,256,289,271,304,309,309,326,271,318,300
YDR518W,330,364,376,374,347,378,374,314,333,330,337,353,343,374,347,369,340
YDR519W,318,294,318,322,300,304,318,289,304,309,318,318,294,294,326,271,330
YDR521W,69,0,0,69,0,69,69,69,110,0,69,69,69,69,110,69,110
YDR523C,208,195,139,139,110,139,69,110,139,0,110,110,69,69,69,69,69
YDR524C,256,283,248,264,271,294,271,271,277,220,264,271,264,264,248,220,264
YDR525W,0,69,69,69,0,0,0,0,0,69,0,69,0,110,69,69,69
YDR526C,69,110,69,110,110,161,110,69,139,69,69,110,110,139,110,69,110
YDR527W,220,240,179,220,208,277,208,195,240,179,208,230,220,240,230,220,240
YDR528W,179,309,264,208,179,220,195,195,240,179,230,220,220,208,179,179,161
YDR529C,376,406,389,399,395,411,420,371,397,445,420,413,395,454,453,475,445
YDR530C,110,110,110,110,110,161,69,110,139,69,110,139,139,139,110,161,161
YDR531W,256,304,300,294,240,294,283,256,283,277,256,294,294,330,326,347,304
YDR532C,139,161,179,179,161,179,179,110,161,110,179,195,179,179,179,110,195
YDR537C,195,208,179,208,195,248,195,208,230,161,248,256,256,264,220,240,220
YDR538W,179,179,161,179,139,240,161,161,220,161,240,240,230,230,208,195,195
YDR539W,230,256,220,230,208,271,240,220,264,208,256,271,264,271,240,248,264
YDR540C,139,110,0,69,0,179,161,69,139,110,110,110,110,139,110,110,139
YDR541C,161,195,179,179,110,179,161,110,161,110,139,139,161,161,110,161,139
YDR542W,264,304,309,309,283,309,294,240,271,271,264,277,277,304,289,318,271
YDR543C,220,271,240,256,230,240,248,195,208,139,179,195,179,230,220,220,161
YDR544C,0,69,0,0,69,69,69,69,69,0,69,69,69,110,69,69,110
YDR545W,371,374,381,393,401,389,369,369,381,432,437,426,374,395,391,366,429
YEL003W,318,340,322,350,358,340,350,340,322,294,304,333,333,337,326,330,314
YEL004W,161,110,69,69,0,0,0,69,69,0,69,69,110,69,69,69,69
YEL005C,240,179,139,179,161,139,139,179,161,139,139,139,161,139,139,161,161
YEL006W,161,139,110,139,110,110,161,139,139,69,110,110,161,110,110,110,110
YEL007W,283,220,248,294,294,283,289,300,277,248,248,230,289,240,220,230,256
YEL011W,110,0,0,0,0,0,0,0,0,0,0,69,69,0,0,69,0
YEL015W,220,230,220,240,220,220,230,230,220,161,195,195,240,195,208,208,195
YEL016C,110,69,69,110,69,69,69,110,69,0,69,69,110,69,110,69,69
YEL017W,110,110,110,161,179,161,110,139,110,69,69,110,195,161,110,139,110
YEL018W,161,195,195,208,208,208,161,179,161,110,110,161,195,195,139,179,161
YEL021W,230,304,271,264,271,248,264,283,271,240,248,248,264,248,264,264,240
YEL023C,110,110,69,69,139,110,139,139,110,69,69,69,110,110,110,69,139
YEL024W,230,110,110,161,195,195,195,220,240,208,240,220,240,195,208,220,248
YEL025C,69,0,0,0,69,0,69,161,139,69,139,69,110,69,110,69,69
YEL026W,337,387,371,374,374,353,347,353,343,361,330,350,361,371,343,381,356
YEL032W,208,240,195,195,179,179,220,264,248,208,195,179,195,161,161,208,208
YEL034W,364,381,383,383,385,343,376,393,376,451,401,385,361,364,406,406,378
YEL037C,230,230,208,208,208,179,220,240,230,220,220,195,230,179,220,179,161
YEL039C,304,256,110,139,139,139,110,161,220,208,220,248,256,240,220,271,277
YEL042W,161,230,220,220,240,208,240,220,208,161,179,208,220,220,208,208,161
YEL043W,220,195,139,195,230,208,208,208,195,161,161,161,195,179,161,195,161
YEL046C,240,248,195,208,264,240,248,277,264,195,240,248,271,230,264,256,240
YEL047C,195,256,240,240,248,195,139,195,208,179,208,240,208,161,195,161,139
YEL048C,69,161,110,69,69,69,110,110,110,0,69,69,69,69,110,69,0
YEL051W,283,294,309,294,289,256,294,326,309,300,309,283,300,277,314,289,277
YEL052W,0,69,69,0,69,69,69,69,69,69,69,69,69,69,69,69,69
YEL053C,69,179,139,110,139,139,139,161,161,110,110,139,139,139,139,161,110
YEL055C,195,256,230,220,264,256,256,256,248,208,220,240,248,240,220,240,220
YEL056W,195,139,110,161,161,139,179,179,179,110,139,161,195,179,139,179,161
YEL057C,283,240,208,208,208,179,195,195,179,139,139,139,161,161,139,139,139
YEL061C,69,110,161,179,195,195,161,139,69,0,69,139,179,161,139,69,69
YEL062W,139,69,69,0,0,0,0,69,69,0,69,0,110,69,0,0,110
YEL064C,0,110,139,110,110,110,69,69,69,69,110,139,110,139,69,110,110
YEL065W,110,69,69,69,69,110,110,139,139,69,69,110,195,195,179,179,179
YEL070W,69,69,0,69,69,0,0,69,0,0,0,0,0,0,0,0,0
YEL072W,161,179,110,139,161,110,110,139,139,69,69,110,139,110,110,110,110
YEL073C,139,69,110,69,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL074W,230,195,195,179,161,139,139,161,110,69,69,69,110,110,69,69,110
YEL076C,110,161,161,110,139,110,0,139,139,110,139,161,161,139,110,110,110
YEL077C,230,264,271,271,256,240,248,256,248,289,264,277,264,248,240,248,230
YER001W,248,330,361,358,358,330,309,277,248,208,309,340,353,333,304,289,271
YER003C,179,208,277,294,277,248,248,230,208,179,240,264,283,248,208,208,179
YER005W,179,208,179,179,195,195,179,208,161,139,139,161,179,161,161,161,161
YER007W,139,110,110,69,69,69,69,110,69,0,0,0,69,69,69,69,69
YER009W,326,371,369,350,376,340,330,343,343,374,350,369,369,371,356,387,366
YER011W,309,314,391,458,445,434,439,428,383,409,361,369,406,395,340,381,353
YER012W,304,289,271,294,294,294,294,304,289,277,277,289,304,300,264,300,300
YER014W,240,220,256,294,277,264,256,256,230,195,220,230,240,208,179,208,195
YER016W,208,208,240,294,248,240,230,230,179,195,220,240,240,230,195,195,195
YER017C,208,208,179,179,208,179,195,195,208,179,195,195,208,179,139,179,195
YER018C,139,139,195,220,230,208,179,179,139,110,110,161,179,161,161,139,110
YER019W,220,208,264,283,248,230,230,220,195,179,195,208,256,220,195,179,161
YER020W,256,208,240,248,220,208,208,230,208,195,220,195,220,179,161,179,220
YER022W,139,179,161,139,139,161,110,161,161,69,110,139,195,179,139,161,139
YER028C,139,110,179,161,139,110,110,110,110,0,69,69,69,69,69,69,0
YER032W,161,179,220,277,289,289,294,294,256,179,179,195,277,256,230,230,240
YER033C,69,69,69,0,69,69,69,110,69,0,0,0,69,69,0,69,69
YER034W,179,220,139,161,220,220,195,220,208,161,161,179,208,195,179,195,179
YER042W,230,240,230,300,314,283,271,256,230,220,220,240,264,248,264,271,264
YER047C,0,69,69,69,69,110,69,110,69,0,0,0,69,69,69,69,0
YER053C,283,220,139,139,161,139,139,139,195,208,208,220,230,220,230,264,271
YER054C,161,69,0,0,0,0,69,0,0,0,0,0,69,0,0,0,0
YER056C,318,330,326,309,300,277,318,330,314,318,318,304,318,294,314,300,309
YER058W,220,230,139,161,208,220,161,195,195,161,208,240,220,230,208,220,220
YER060W,69,110,110,69,69,69,69,69,69,69,69,69,110,69,69,69,69
YER062C,333,337,289,271,220,195,179,179,208,230,256,277,277,256,256,256,248
YER064C,230,220,161,230,277,283,248,294,277,208,230,248,256,256,256,264,240
YER065C,69,69,0,69,69,0,0,69,69,0,0,69,69,0,69,69,0
YER067W,110,0,69,69,69,69,69,69,69,69,110,110,139,139,161,139,161
YER068W,195,195,208,195,208,208,208,220,208,161,195,179,220,195,179,179,195
YER069W,139,230,208,208,289,230,161,179,179,139,179,220,256,256,256,256,230
YER070W,110,304,343,289,240,220,161,139,139,220,289,300,289,240,179,179,179
YER071C,277,294,248,248,256,256,256,271,256,220,220,248,256,256,240,264,256
YER074W,314,356,358,350,353,304,333,333,330,376,343,350,330,333,358,376,340
YER075C,69,110,69,69,69,69,69,69,69,0,0,69,69,69,69,69,69
YER079W,240,139,69,69,110,110,69,139,139,139,139,139,179,161,161,179,195
YER081W,195,300,340,330,289,256,264,264,230,179,195,195,230,208,208,179,208
YER082C,195,264,230,220,264,220,179,240,248,179,208,230,256,248,220,230,220
YER083C,256,271,271,240,256,256,240,248,264,208,240,256,283,264,230,264,256
